713,43,364052
654,30,301192
85,51,336673
83,27,218059
688,46,214384
199,27,379871
887,51,381825
399,93,219695
382,85,175365
112,77,372945
163,85,246503
379,49,264176
713,34,296593
678,45,225917
464,37,113051
3,50,351371
495,100,144699
195,92,126218
486,50,343270
516,75,244531
927,72,297920
479,24,243890
563,74,144145
927,68,153922
103,73,295187
359,40,245974
170,15,231672
512,99,288926
505,7,281571
183,87,395040
422,88,138741
313,4,183835
507,13,315214
312,7,309214
576,68,124609
638,40,211277
873,11,353186
624,86,211578
529,35,142367
558,38,153658
258,55,312776
11,6,142817
318,27,390568
412,44,263969
707,82,208222
882,95,154516
622,92,129827
305,77,289845
157,60,362869
662,76,276160
260,33,195776
606,78,383501
933,41,188056
290,16,255825
690,63,156077
449,54,276658
254,11,356610
723,80,281529
513,51,370764
237,36,341355
726,37,223883
431,74,269309
971,76,205354
135,25,312261
850,19,152116
901,4,131960
443,72,242061
576,39,196613
513,40,289328
135,19,123214
953,85,342041
757,71,354370
495,18,328857
152,63,352117
662,14,197013
142,30,145084
968,49,249580
486,26,372849
374,68,258062
960,99,271120
992,68,226329
685,93,358696
34,15,325936
705,78,368432
18,86,314003
814,96,239250
224,29,328974
637,40,293680
390,53,207123
955,59,120022
671,43,271246
283,78,279820
839,99,281779
703,54,174002
739,97,256127
935,52,261896
990,85,299086
670,47,306913
937,89,283562
148,48,183496
856,58,296265
984,50,199645
409,25,122768
246,16,378649
343,97,346190
787,71,331352
445,68,165601
818,32,218692
745,62,392379
739,61,362297
972,91,243161
216,39,153754
250,48,159404
513,69,307820
59,22,328282
62,1,208753
433,33,345729
300,86,279031
415,99,106496
740,52,365290
761,25,271051
305,3,298934
891,17,131138
901,47,113751
93,18,125229
249,51,193985
978,78,338210
962,12,193040
178,37,275221
870,61,164578
306,43,145387
604,91,181356
154,89,345708
419,6,223993
148,80,135179
275,100,386795
51,17,185616
165,57,316260
916,16,192608
690,76,192481
289,45,306586
891,27,207724
663,85,132271
326,24,399791
180,27,284679
397,27,359268
584,79,400834
929,71,215637
426,6,254946
997,13,158291
513,96,139276
8,14,350046
618,51,369234
23,36,148772
425,96,148457
340,71,154319
739,20,329429
320,91,112380
936,42,197006
466,28,265995
664,99,203103
750,71,242436
801,59,327299
193,94,199622
655,60,107626
691,11,281123
418,76,124680
94,47,237365
869,5,271460
536,44,240834
325,83,174309
8,85,377622
850,22,265658
193,48,295739
700,76,274282
538,78,264303
34,30,121250
586,94,145292
861,10,138124
554,13,398513
248,30,315108
157,2,263636
769,47,172719
691,52,106506
210,57,322514
359,84,207016
523,6,219480
850,73,109212
27,29,262606
165,99,315795
863,16,181405
698,26,339318
697,97,205316
562,1,172738
672,62,122087
167,82,247723
611,94,157216
50,89,154157
471,37,138417
954,82,392404
47,85,122820
150,59,340811
923,93,308723
23,86,180060
677,20,241304
894,49,107721
331,89,112856
103,26,209334
60,80,395187
332,94,203370
139,41,341657
188,53,163325
150,30,196183
28,77,378190
432,75,253973
39,90,398456
787,67,253471
564,71,105917
434,72,240483
682,78,289602
206,71,198215
35,99,285610
11,24,338555
908,31,271567
529,56,102700
553,77,191220
169,77,331255
774,80,335088
271,16,164448
746,67,229704
556,88,223538
103,30,106983
836,81,164022
257,25,248441
960,72,190384
984,3,212709
20,62,205237
245,55,332021
807,48,298626
270,93,395184
510,3,323842
883,53,165754
668,97,304223
81,16,122988
380,31,171627
861,63,285075
752,6,128442
302,54,179226
600,6,284691
887,23,382954
408,19,107741
