755,36,80459
200,16,331116
518,68,420394
672,72,406309
146,10,38492
768,64,297015
57,67,108790
395,99,156519
541,84,382935
275,44,95363
206,9,389629
18,95,414051
688,84,13521
458,85,121765
597,55,108022
223,5,461366
726,18,348583
569,61,367274
501,74,344344
457,46,26383
685,27,448480
878,43,234817
332,92,367714
434,52,184364
986,35,439571
166,44,15745
142,42,357617
633,32,301078
940,99,468668
235,76,450855
125,16,166804
798,10,211689
248,59,295990
398,93,375902
117,15,255106
440,85,484151
503,86,37421
986,47,113664
91,96,196924
334,72,256263
686,36,12869
845,34,396456
664,24,381255
23,61,308479
673,96,211515
838,44,394752
592,21,263779
312,58,134765
728,38,395572
342,16,470736
272,20,322283
776,43,249198
4,65,331743
749,80,462317
241,8,53353
252,12,23032
47,63,150378
968,15,138069
679,83,183194
345,36,246698
294,52,321533
924,93,290668
902,98,408922
923,3,200662
570,33,226314
57,32,382404
872,16,332375
623,72,472827
595,42,431550
822,45,404827
689,56,10826
344,24,284799
474,95,494933
191,91,312076
92,47,124588
755,9,53881
207,44,473485
149,25,92710
963,74,229107
786,96,507151
183,22,5708
201,44,480043
825,31,199583
135,27,390828
682,94,75457
863,45,214554
339,68,270872
767,63,436978
374,10,306268
169,66,74454
810,45,183487
409,34,306676
820,52,469832
170,43,393491
680,79,500517
57,93,258098
972,83,78946
429,57,238881
35,94,476613
471,61,388299
672,1,151383
527,82,292560
100,72,141112
676,80,2687
153,87,504228
560,42,241290
739,5,465645
464,64,177023
539,53,240738
641,51,380912
960,40,83819
893,44,317479
343,95,408115
397,72,283457
410,32,311459
785,25,467236
971,41,142539
470,61,145997
876,97,78476
228,30,165155
218,3,93146
20,22,223964
786,54,182908
76,51,496973
769,25,354871
221,52,392183
709,85,10599
450,5,144560
703,35,61398
762,93,344401
855,75,1426
234,74,246531
985,91,170640
349,85,431329
574,70,156791
579,64,192096
974,37,248270
204,10,72358
856,22,207232
401,50,183064
918,47,486994
564,48,381411
833,42,418533
884,27,347917
457,81,277893
180,23,280044
277,49,482322
974,61,494385
120,29,485101
821,55,400309
101,19,66781
885,37,500534
828,66,229333
770,8,474862
857,35,5866
596,13,322750
391,97,439568
327,43,430406
239,40,40588
351,64,131413
12,12,381185
307,66,76420
582,84,263637
162,38,63484
783,35,441432
540,76,453996
362,73,137676
303,2,102783
186,69,445376
373,21,204347
693,23,195366
816,93,87968
595,52,142758
167,41,237873
833,7,291452
9,70,359025
775,7,333362
800,24,358066
677,6,25778
953,60,488236
380,85,33647
164,51,99545
264,59,315602
988,11,182070
455,23,411536
670,50,204605
272,12,498382
218,44,310771
936,92,165231
739,44,141023
520,70,159494
12,96,490019
151,42,224214
314,100,344808
467,45,66050
505,78,365925
316,58,405069
349,82,504223
713,7,163582
98,19,6111
40,8,281452
316,99,14714
